85,77
83,56
49,36
52,49
27,80
81,89
47,40
86,84
2,48
57,29
42,94
56,93
25,22
96,68
68,52
98,13
15,78
97,63
23,27
58,33
79,45
51,43
99,90
45,1
48,85
53,70
60,88
67,10
69,5
30,83
66,28
11,0
63,41
87,46
71,98
31,91
36,75
39,23
12,59
75,7
89,62
0,86
4,2
18,73
3,69
29,3
37,25
62,96
16,20
41,18
34,17
90,65
76,37
21,8
13,47
92,95
82,55
33,34
59,12
44,11
40,76
95,82
88,92
93,87
46,51
77,58
1,19
80,30
32,24
55,9
54,16
84,57
10,15
14,4
70,6
65,71
28,72
72,39
24,44
91,79
8,31
6,42
73,32
17,35
35,81
50,54
43,61
64,99
38,50
61,66
7,38
78,67
26,74
20,60
22,53
5,14
94,64
74,97
9,26
19,21
